fl_bins,A320,A343,DH8D
460,NA,NA,NA
450,NA,NA,268697.916666667
440,NA,NA,257011.111111111
430,NA,NA,245815.416666667
420,NA,480973.333333333,235093.333333333
410,446076.694444444,438916.111111111,224827.361111111
400,400000,400000,215000
390,357872.75,364095,205593.75
380,319516.444444444,331071.111111111,196591.111111111
370,284752.583333333,300798.333333333,187974.583333333
360,253402.666666667,273146.666666667,179726.666666667
350,225288.194444444,247986.111111111,171829.861111111
340,200230.666666667,225186.666666667,164266.666666667
330,178051.583333333,204618.333333333,157019.583333333
320,158572.444444444,186151.111111111,150071.111111111
310,141614.75,169655,143403.75
300,127000,155000,137000
290,114540.75,142050,130840.75
280,104013.777777778,130644.444444444,124900.444444444
270,95186.9166666667,120616.666666667,119151.916666667
260,87828,111800,113568
250,81704.8611111111,104027.777777778,108121.527777778
240,76585.3333333333,97133.3333333333,102785.333333333
230,72237.25,90950,97532.25
220,68428.4444444444,85311.1111111111,92335.1111111111
210,64926.75,80050,87166.75
200,61500,75000,82000
190,57960.75,70025,76815.75
180,54300.4444444444,65111.1111111111,71627.1111111111
170,50555.25,60275,66455.25
160,46761.3333333333,55533.3333333333,61321.3333333333
150,42954.8611111111,50902.7777777778,56246.5277777778
140,39172,46400,51252
130,35448.9166666667,42041.6666666667,46358.9166666667
120,31821.7777777778,37844.4444444444,41588.4444444444
110,28326.75,33825,36961.75
100,25000,30000,32500
90,21868.75,26380,28222.75
80,18924.4444444444,22951.1111111111,24143.1111111111
70,16149.5833333333,19693.3333333333,20272.5833333333
60,13526.6666666667,16586.6666666667,16622.6666666667
50,11038.1944444444,13611.1111111111,13204.8611111111
40,8666.66666666667,10746.6666666667,10030.6666666667
30,6394.58333333333,7973.33333333333,7111.58333333333
20,4204.44444444445,5271.11111111111,4459.11111111111
10,2078.75,2620,2084.75
0,0,0,0
