fl_bins,A320,A343,DH8D
460,NA,NA,NA
450,NA,NA,1808.33333333333
440,NA,NA,1729.48888888889
430,NA,NA,1654.38333333333
420,NA,2684.12,1582.86666666667
410,2710.90055555556,2458.44833333333,1514.78888888889
400,2450,2250,1450
390,2210.205,2058.035,1388.35
380,1990.59555555556,1881.81333333333,1329.68888888889
370,1790.25166666667,1720.595,1273.86666666667
360,1608.25333333333,1573.64,1220.73333333333
350,1443.68055555556,1440.20833333333,1170.13888888889
340,1295.61333333333,1319.56,1121.93333333333
330,1163.13166666667,1210.955,1075.96666666667
320,1045.31555555556,1113.65333333333,1032.08888888889
310,941.245,1026.915,990.15
300,850,950,950
290,770.62,882.13,911.475
280,701.982222222222,822.373333333333,874.355555555556
270,642.923333333333,769.76,838.408333333333
260,592.28,723.32,803.4
250,548.888888888889,682.083333333333,769.097222222222
240,511.586666666667,645.08,735.266666666667
230,479.21,611.34,701.675
220,450.595555555556,579.893333333333,668.088888888889
210,424.58,549.77,634.275
200,400,520,600
190,375.895,489.805,565.1
180,352.115555555556,459.173333333333,529.688888888889
170,328.715,428.285,493.95
160,305.746666666667,397.32,458.066666666667
150,283.263888888889,366.458333333333,422.222222222222
140,261.32,335.88,386.6
130,239.968333333333,305.765,351.383333333333
120,219.262222222222,276.293333333333,316.755555555556
110,199.255,247.645,282.9
100,180,220,250
90,161.51,193.5,218.225
80,143.635555555556,168.133333333333,187.688888888889
70,126.186666666667,143.85,158.491666666667
60,108.973333333333,120.6,130.733333333333
50,91.8055555555556,98.3333333333333,104.513888888889
40,74.4933333333333,77,79.9333333333333
30,56.8466666666667,56.55,57.0916666666667
20,38.6755555555556,36.9333333333333,36.0888888888889
10,19.79,18.1,17.025
0,0,0,0
