Route_ID,Route_Points
L6,DVR;DET
L7,LONAM;VENAS;GOLVO;PELET;ASKAM;BADGA;CUTEL;ODMIX;FORTY;SUM
L8,BUGUP;NANUM;HON;STAFA;NANTI;UMKIL;VABKA;ASNIP;TADAL
L9,KONAN;DVR;UMTUM;EMKAD;DIKVU;BIG;GOXUL;NORRY;CPT;STU;SLANY
L10,RINTI;DVR;ITVIP;LAM;BPK;BUZAD;WOBUN;DTY;HON;WAL;PENIL;CASEL;KELLY;IOM;SLYDA;RINGA;DUFFY;BEL
L15,MOTOX;SANDY;BIG;BETPO;FINMA;PIXUP;HON;KEPAD;RISLA;AMPIT;EPOXI;MALUD;GIGTO;SOSIM;MAKUX;VAKPO;PEPOD;DUFFY
L17,MOLIX;RAMID;BODSO
L18,VABIK;DVR;WIZAD;MAY;MID;VAPID;NIGIT;INLAK;GAVGO;UGNUS;DIKAS;MEDOG;LANON;BADSI;ABLIN;IRKUM;LIPGO
L22,ADKIK;HICAP;MERLY;MOPAT
L28,TNT;RODOL;MCT;ASNIP;AGLIL;PENIL;DANDI;LELDO;SOSIM
L46,NALAX;LIBSO;ODNEK;MITSO;RIMTO;HALIF;GETNO;REMSI
L60,KOLAG;SOPEK;OTBED;ENCOD;NISBI;DOPEK;ARTIX;MOGMO;MAMUL;ADELU;BOLBI;SONEX;PENIL
L70,DESIG;KOLID;TADAL;GUNTU;PENIL;BABRA;GIGTO;UNDUX;SOPAX;RAMOX;OGTUG;BAGSO
L74,TOPPA;LARDI;SOTUN;VENAS
L89,KATHY;HAZEL;WOD
L90,DOLAS;SUPEL;LIBSO;OTR
L149,BIGNO;NOTRO;DAWLY;DEVOM;HOTBE;DIDEL;MERLY;GISOK;ILZAP;NEKAP;BAKUR
L151,SITET;DRAKE;MID;LINDY;KIDLI;NEDEX;NANUM;TUBSU;DISIT;PEPUL;UMLUX;VIDOK;TELBA;KEPAD;WAL
L179,INLAK;CPT;UGBET;LAM;FERIT;SIRGO;TERKO;TUGPO;TOBIX;ERING;PIBUX;GILTI
L180,LESLU;MERLY;DUFZO;ASRAX;SWANY;ABDUK;DIKAS;DOBEM;FIGZI
L186,TRN;NORBO
