sectorname,part,floor_fl,ceiling_fl,vertices_deg_min_sec
1,1,305,660,"511308N,0001600W;511048N,0001344W;510853N,0001125W;505057N,0000716E;503700N,0003938W;504233N,0004532W;504149N,0005018W;504121N,0011225W;504105N,0012329W;504035N,0014110W;504024N,0020000W;511027N,0020000W;511308N,0001558W"
1,2,295,660,"505152N,0001045E;505057N,0001155E;502405N,0004611E;500000N,0001500W;500001N,0003200W;502948N,0003200W;503700N,0003938W;505152N,0001045E"
2,1,305,660,"520000N,0011226W;520939N,0004942W;515433N,0001425W;520228N,0001524E;512658N,0005532E;512704N,0004758E;510105N,0011832E;505416N,0012800E;503944N,0012717E;505530N,0010512E;510238N,0004855E;505904N,0000125E;510853N,0001125W;511308N,0001600W;515111N,0005745W;520000N,0011226W"
2,2,355,660,"505904N,0000125E;510238N,0004855E;505530N,0010512E;503944N,0012717E;505904N,0000125E"
2,3,315,660,"512704N,0004758E;512658N,0005532E;512300N,0020000E;510700N,0020000E;510000N,0012800E;505416N,0012800E;510105N,0011832E;512704N,0004758E"
3,1,285,335,"543000N,0033533W;543007N,0025245W;540848N,0023433W;540043N,0022743W;540147N,0013515W;534309N,0011618W;531836N,0005724W;530625N,0004612W;531017N,0012043W;530031N,0014740W;531225N,0015844W;533144N,0021700W;533947N,0025224W;534125N,0032734W;543000N,0033533W"
4,1,335,660,"543000N,0033533W;543007N,0025245W;540848N,0023433W;540043N,0022743W;540147N,0013515W;534309N,0011618W;531836N,0005724W;530625N,0004612W;531017N,0012043W;530031N,0014740W;531225N,0015844W;531029N,0020557W;525100N,0024529W;525333N,0025014W;525340N,0025354W;525355N,0030209W;525423N,0031838W;525437N,0032653W;525542N,0041447W;531112N,0050859W;531148N,0053000W;534048N,0053000W;534602N,0053000W;534817N,0053000W;534617N,0043112W;535419N,0042151W;535358N,0040608W;534149N,0033649W;534125N,0032734W;543000N,0033533W"
5,1,0,335,"531148N,0053000W;531112N,0050859W;525542N,0041447W;525423N,0031838W;525340N,0025354W;525333N,0025014W;525100N,0024529W;525045N,0024528W;524149N,0023750W;523251N,0023014W;521626N,0021213W;520946N,0020500W;520916N,0020428W;520001N,0024700W;520001N,0031635W;520522N,0035849W;523550N,0045152W;525705N,0053000W;531148N,0053000W"
5,2,265,335,"520916N,0020428W;515942N,0015411W;515336N,0014741W;514751N,0014136W;514126N,0020000W;511527N,0020000W;512905N,0034542W;520522N,0035849W;520001N,0031635W;520001N,0024700W;520916N,0020428W"
6,1,0,305,"495457N,0023012W;494929N,0030203W;494707N,0031534W;494414N,0033146W;493905N,0040005W;493718N,0040941W;511719N,0034740W;512921N,0041210W;512905N,0034542W;511527N,0020000W;505543N,0020000W;504947N,0023317W;504459N,0023107W;503947N,0023109W;503712N,0021731W;503146N,0022018W;501745N,0022725W;495457N,0023012W"
7,1,285,335,"531225N,0015844W;531029N,0020557W;525100N,0024529W;525333N,0025014W;525340N,0025354W;525355N,0030209W;525423N,0031838W;525437N,0032653W;525542N,0041447W;531112N,0050859W;531148N,0053000W;534048N,0053000W;534602N,0053000W;534817N,0053000W;534617N,0043112W;535419N,0042151W;535358N,0040608W;534149N,0033649W;534125N,0032734W;533947N,0025224W;533144N,0021700W;531225N,0015844W"
8,1,0,335,"525705N,0053000W;520522N,0035849W;512905N,0034542W;512921N,0041210W;514034N,0060027W;520049N,0060720W;522000N,0053000W;525705N,0053000W"
9,1,0,660,"520049N,0060720W;514034N,0060027W;512921N,0041210W;511719N,0034740W;493718N,0040941W;492841N,0045459W;485000N,0080000W;493459N,0080000W;510000N,0080000W;512528N,0071351W;520049N,0060720W"
10,1,285,335,"540147N,0013515W;540147N,0003928W;540144N,0002907W;540145N,0001852W;540145N,0000602E;533539N,0002756E;533230N,0005045E;532856N,0005709E;525324N,0004619E;530426N,0004422W;530625N,0004612W;531223N,0005140W;531550N,0005451W;531836N,0005724W;534039N,0011419W;534309N,0011616W;535809N,0013132W;540147N,0013515W"
10,2,0,335,"540145N,0000602E;540144N,0001447E;540141N,0002719E;532302N,0024006E;531813N,0024400E;531710N,0025209E;531441N,0031102E;531029N,0032158E;525501N,0030854E;523250N,0025026E;522819N,0024644E;522842N,0023414E;523235N,0020608E;523412N,0015411E;522510N,0012816E;522535N,0010558E;522615N,0001348E;522621N,0000147E;522626N,0001012W;530426N,0004422W;525324N,0004619E;532856N,0005709E;533230N,0005045E;533539N,0002756E;540145N,0000602E"
11,1,335,660,"540145N,0000602E;540144N,0001447E;540141N,0002719E;532302N,0024006E;531813N,0024400E;531710N,0025209E;531441N,0031102E;531029N,0032158E;525501N,0030854E;523250N,0025026E;522819N,0024644E;522842N,0023414E;523235N,0020608E;523412N,0015411E;522510N,0012816E;522535N,0010558E;522615N,0001348E;522621N,0000147E;522626N,0001012W;530426N,0004422W;530625N,0004612W;531223N,0005140W;531550N,0005451W;531836N,0005724W;534039N,0011419W;534309N,0011616W;535809N,0013132W;540147N,0013515W;540147N,0003928W;540144N,0002907W;540145N,0001852W;540145N,0000602E"
12,1,215,660,"522615N,0001348E;522535N,0010558E;522510N,0012816E;523412N,0015411E;523235N,0020608E;522842N,0023414E;522819N,0024644E;522319N,0024237E;521826N,0023838E;520653N,0022917E;515702N,0022123E;515619N,0015102E;514827N,0013643E;520713N,0005149E;521221N,0004819E;521104N,0003242E;521104N,0000528E;521906N,0000344W;522122N,0000147E;522615N,0001348E"
12,2,245,660,"521104N,0000528E;521104N,0003242E;521221N,0004819E;520713N,0005149E;514827N,0013643E;514519N,0005029E;514417N,0003607E;515243N,0002633E;520228N,0001524E;521104N,0000528E"
13,1,245,660,"514417N,0003607E;514519N,0005029E;514827N,0013643E;515619N,0015102E;515702N,0022123E;513000N,0020000E;512638N,0020000E;512300N,0020000E;512430N,0013643E;512617N,0010724E;512658N,0005532E;513156N,0005000E;514004N,0004052E;514417N,0003607E"
14,1,215,245,"514827N,0013643E;515619N,0015102E;515702N,0022123E;513000N,0020000E;512638N,0020000E;512300N,0020000E;512430N,0013643E;514827N,0013643E"
15,1,195,255,"512715N,0003300E;510834N,0003514E;510910N,0003349E;511734N,0000925E"
15,2,195,275,"512715N,0003300E;512704N,0004758E;510105N,0011832E;505416N,0012800E;505530N,0010512E;510238N,0004855E;510834N,0003514E;512715N,0003300E"
15,3,195,315,"512704N,0004758E;512658N,0005531E;512554N,0011303E;512450N,0013119E;510000N,0012800E;505416N,0012800E;510105N,0011832E;512704N,00047058E"
15,4,135,315,"512450N,0013119E;512300N,0020000E;510700N,0020000E;510000N,0012800E;512450N,0013119E"
16,1,275,305,"505842N,0005754E;510105N,0011832E;505416N,0012800E;505530N,0010512E;505842N,0005754E"
16,2,0,305,"505530N,0010512E;505416N,0012800E;504244N,0014405E;503607N,0013220E;503944N,0012717E;505530N,0010512E"
17,1,195,255,"510853N,0001125W;511734N,0000925E;510910N,0003349E;510834N,0003514E;510238N,0004855E;505904N,0000124E;510853N,0001125W"
17,2,195,355,"510238N,0004855E;505656N,0010156E;504617N,0005850E;505904N,0000124E;510238N,0004855E"
17,3,195,660,"505914N,0000124E;504617N,0005850E;504219N,0005741E;503330N,0003416E;505057N,0001155E;505904N,0000124E"
17,4,145,355,"505656N,0010156E;505530N,0010512E;503944N,0012717E;504617N,0005850E;505656N,0010156E"
17,5,145,660,"504617N,0005850E;503944N,0012717E;502405N,0004611E;503330N,0003416E;504219N,0005741E;504617N,0005850E"
18,1,175,255,"510853N,0001125W;505530N,0000602E;503700N,0003938W;505216N,0003843W;510853N,0001125W"
18,2,175,295,"505530N,0000602E;503330N,0003416E;502613N,0001508E;502957N,0003209W;503700N,0003938W;505530N,0000602E"
18,3,0,295,"502957N,0003209W;502613N,0001508E;503330N,0003416E;502405N,0004611E;500000N,0001500W;500000N,0003158W;502957N,0003209W"
19,1,255,305,"505301N,0011454W;505512N,0005908W;504139N,0010307W;504125N,0012315W;505301N,0011454W"
19,2,185,660,"504139N,0010307W;504153N,0004450W;503700N,0003938W;502957N,0003209W;500000N,0003158W;500000N,0010929W;504139N,0010307W"
19,3,345,660,"504125N,0012315W;504139N,0010307W;500000N,0010929W;500000N,0020000W;502754N,0013240W;504125N,0012315W"
19,4,185,305,"505512N,0005908W;505538N,0005554W;504848N,0005214W;504153N,0004450W;504139N,0010307W;505512N,0005908W"
19,5,175,255,"511117N,0010636N;505538N,0005554W;505301N,0011554W;511117N,0010636W"
20,1,0,305,"511527N,0020000W;511238N,0013600W;511350N,0012159W;505859N,0012811W;504946N,0013439W;504035N,0014102W;504012N,0021558W;503712N,0021731W;503947N,0023109W;504459N,0023107W;504947N,0023317W;505543N,0020000W;511527N,0020000W"
20,2,155,305,"511350N,0012159W;511117N,0010636W;505540N,0011312W;505301N,0011454W;504928N,0011735W;504946N,0013439W;505859N,0012811W;511350N,0012159W"
20,3,175,305,"511117N,0010636W;505538N,0005554W;505301N,0011454W;505540N,0011312W;511117N,0010636W"
20,4,125,305,"504946N,0013439W;504928N,0011735W;504125N,0012315W;504035N,0014102W;504946N,0013439W"
20,5,0,660,"504012N,0021558W;504035N,0014102W;503156N,0014700W;495823N,0020948W;495457N,0023012W;501745N,0022725W;503712N,0021731W;504012N,0021558W"
20,6,125,660,"504035N,0014102W;504125N,0012315W;502754N,0013240W;503156N,0014700W;504035N,0014102W"
20,7,195,660,"503156N,0014700W;502754N,0013240W;500000N,0020000W;495823N,0020948W;503156N,0014700W"
21,1,0,125,"504946N,0013439W;504928N,0011735W;502754N,0013240W;503156N,0014700W;504946N,0013439W"
21,2,0,195,"503156N,0014700W;502754N,0013240W;500000N,0020000W;495823N,0020948W;503156N,0014700W"
21,3,0,225,"502754N,0013240W;501616N,0014042W;500000N,0014301W;500000N,0020000W;502754N,0013240W"
22,1,175,255,"505301N,0011454W;505512N,0005908W;504902N,0010057W;504928N,0011735W;505301N,0011454W"
22,2,175,185,"505512N,0005908W;505538N,0005554W;504848N,0005214W;504902N,0010057W;505512N,0005908W"
22,3,125,255,"504928N,0011735W;504902N,0010057W;504139N,0010307W;504125N,0012315W;504928N,0011735W"
22,4,125,345,"504125N,0012315W;504139N,0010307W;503700N,0010351W;503700N,0012620W;504125N,0012315W"
22,5,125,185,"504902N,0010057W;504848N,0005214W;504153N,0004450W;503700N,0003938W;503700N,0010351W;504139N,0010307W;504902N,0010057W"
22,6,0,345,"503700N,0012620W;503700N,0010351W;500000N,0010929W;500000N,0014301W;501616N,0014042W;502754N,0013240W;503700N,0012620W"
22,7,0,185,"503700N,0010351W;503700N,0003938W;502957N,0003209W;500000N,0003158W;500000N,0010929W;503700N,0010351W"
22,8,225,345,"502754N,0013240W;501616N,0014042W;500000N,0014301W;500000N,0020000W;502754N,0013240W"
23,1,0,265,"520522N,0035849W;520001N,0031635W;520001N,0024700W;520916N,0020428W;514751N,0014136W;514126N,0020000W;511527N,0020000W;512905N,0034542W;520522N,0035849W"
23,2,0,275,"514751N,0014136W;514211N,0013537W;514055N,0013458W;513706N,0013350W;512624N,0012933W;511837N,0012813W;511306N,0013031W;511238N,0013600W;511527N,0020000W;514126N,0020000W;514751N,0014136W"
23,3,155,275,"514055N,0013458W;513943N,0012646W;513601N,0012453W;513706N,0013350W;514055N,0013458W"
23,4,115,275,"513706N,0013350W;513601N,0012453W;513533N,0012103W;511617N,0012057W;511350N,0012159W;511306N,0013031W;511837N,0012813W;512624N,0012933W;513706N,0013350W"
24,1,305,660,"514126N,0020000W;514931N,0013648W;520001N,0011226W;515111N,0005745W;511308N,0001558W;511027N,0020000W;514126N,0020000W"
25,1,215,245,"515336N,0014741W;515300N,0012844W;520000N,0011226W;515421N,0010257W;514319N,0012837W;513943N,0012646W;514055N,0013458W;514211N,0013537W;514751N,0014136W;515336N,0014741W"
25,2,275,305,"514751N,0014136W;514211N,0013537W;514055N,0013458W;513943N,0012646W;513601N,0012453W;513533N,0012103W;511617N,0012057W;511350N,0012159W;511238N,0013600W;511527N,0020000W;514126N,0020000W;514751N,0014136W"
25,3,215,305,"514319N,0012837W;515421N,0010257W;515111N,0005745W;510853N,0001125W;504626N,0004942W;504848N,0005214W;505538N,0005555W;511117N,0010636W;511350N,0012159W;511617N,0012057W;513533N,0012103W;513601N,0012453W;513943N,0012646W;514319N,0012837W"
25,4,255,305,"504626N,0004942W;510853N,0001125W;505433N,0000716E;503807N,0004049W;504626N,0004942W"
26,1,215,305,"520000N,0011226W;520603N,0005814W;515859N,0005202W;515350N,0004538W;514802N,0003828W;515619N,0000748W;514801N,0000008E;512715N,0003300E;510853N,0001125W;515111N,0005745W;515421N,0010257W;520000N,0011226W"
26,2,245,305,"515619N,0000748W;520228N,0001524E;512658N,0005532E;512715N,0003300E;514801N,0000008E;515619N,0000748W"
26,3,255,305,"512715N,0003300E;510834N,0003514E;510238N,0004855E;505904N,0000124E;510853N,0001125W;512715N,0003300E"
26,4,275,305,"512715N,0003300E;512704N,0004758E;510105N,0011832E;505842N,0005754E;510238N,0004855E;510834N,0003514E;512715N,0003300E"
27/32,1,285,660,"525045N,0024528W;531029N,0020557W;531225N,0015844W;530031N,0014737W;524149N,0023750W;525045N,0024528W"
27/32,2,195,660,"524149N,0023750W;530031N,0014737W;520603N,0005814W;520519N,0005956W;521049N,0010650W;521408N,0011020W;522618N,0012315W;520946N,0020500W;523251N,0023014W;524149N,0023750W"
27/32,3,215,660,"522618N,0012315W;521408N,0011020W;515942N,0015411EW;520946N,0020500W;522618N,0012315W"
27/32,4,225,660,"515942N,0015411W;521408N,0011020W;521049N,0010650W;520519N,0005956W;515300N,0012844W;515336N,0014741W;515942N,0015411W"
27/32,5,275,660,"515336N,0014741W;515300N,0012844W;514930N,0013648W;514751N,0014136W;515336N,0014741W"
27/32,6,245,305,"514751N,0014136W;514930N,0013648W;515300N,0012844W;520519N,0005956W;520603N,0005814W;515859N,0005202W;514319N,0012837W;513943N,0012646W;514055N,0013458W;514211N,0013537W;514751N,0014136W"
28,1,195,295,"530031N,0014737W;531017N,0012043W;530828N,0010317W;530016N,0010043W;522630N,0002732W;522632N,0003702W;521126N,0002220W;520448N,0003814W;515859N,0005202W;520603N,0005814W;530031N,0014737W"
