waypointname,lat, long
ABAPO,520610N,0044812W
ABBOT,520058N,0003558E
ABDAL,512646N,0015148W
ABDUK,513834N,0034801W
ABEDA,521940N,0015216E
ABEVI,544227N,0024629W
ABGEP,532539N,0045140W
ABKAT,540853N,0015847W
ABKIM,505043N,0015858W
ABLIN,524658N,0045933W
ABSAV,503829N,0011029W
ABSUN,541732N,0061518W
ABTOS,531445N,0002536E
ABTUM,512604N,0012229E
ADASI,591315N,0061731W
ADCUB,505436N,0020000W
ADELU,532630N,0013213W
ADGEG,531343N,0021906E
ADKIK,504749N,0023245W
ADLOG,501925N,0004933W
ADMEX,522139N,0012745W
ADMIS,515949N,0001036E
ADN,571838N,0021602W
ADNAM,520617N,0004419E
ADODO,583000N,0100000W
ADRUD,491014N,0062655W
ADVAS,514053N,0012633E
ADVAT,450000N,0092811W
AGLIL,533442N,0032711W
AGORI,570000N,0130000W
AGPED,550719N,0015657W
AKIVO,595752N,0093000W
AKOKO,531416N,0031207E
AKUPA,522912N,0010528W
ALASO,552650N,0013354W
ALAVA,532343N,0035817W
ALESO,503432N,0011332E
ALOTI,575427N,0033630E
ALUTA,490019N,0072953W
ALVIN,513945N,0024042W
AMDUT,504028N,0004746E
AMHAG,513000N,0041801W
AMLAD,561552N,0100000W
AMLET,531607N,0015018W
AMMAN,515026N,0035954W
AMPIT,531139N,0031133W
AMPOP,493148N,0060903W
AMRAL,520653N,0025433W
AMTAP,582225N,0093000W
AMTOD,503216N,0012544W
AMVEL,531103N,0000155W
ANJAK,525350N,0025933W
ANNET,493905N,0040005W
APPLE,543000N,0023050W
APSOV,554923N,0100000W
ARKIL,503928N,0080000W
ARNUN,510326N,0005553E
ARPUB,533534N,0011428W
ARREK,513643N,0015007E
ARSAT,543206N,0014419W
ARTEX,565341N,0035738E
ARTHA,534659N,0021707W
ARTIX,532342N,0010209W
ASKAM,545747N,0031350E
ASLIB,544928N,0030339W
ASMIM,532646N,0023911W
ASNIP,532843N,0025426W
ASNUD,564139N,0030320W
ASRAX,513117N,0041643W
ASRUS,550321N,0032045W
ATNAK,570000N,0050000E
ATSAP,512716N,0013017E
ATSIX,600000N,0100000W
ATSUR,500000N,0140000W
ATWEL,505051N,0032502W
AVANT,504912N,0005618W
AVRAL,553034N,0034259E
BABAX,502511N,0034817W
BABGU,541639N,0051625W
BABRA,533739N,0035643W
BADGA,553749N,0023658E
BADIM,513838N,0023040W
BADSI,523930N,0044617W
BAGIT,531345N,0035918W
BAGSO,534048N,0053000W
BAKER,512942N,0001753E
BAKOX,533143N,0050933W
BAKUR,521430N,0054049W
BALID,562949N,0015707W
BALIX,590000N,0100000W
BAMEP,535242N,0021609W
BAMLI,540828N,0063904W
BAMRA,592600N,0035710W
BANBA,515710N,0061421W
BANEM,522008N,0013019E
BANTO,522128N,0001357W
BANVA,503242N,0004512E
BARKU,603618N,0092436W
BARMI,522842N,0023414E
BAROS,532422N,0032643W
BARTN,532814N,0022541W
BATLI,533845N,0012137W
BAVDO,541820N,0010925W
BAVUD,533108N,0045109W
BAZJO,505025N,0035345W
BCN,514332N,0031547W
BEBNI,545906N,0033514W
BEDEK,512215N,0013331W
BEDFO,521330N,0003348W
BEDRA,490000N,0150000W
BEGAM,540925N,0020715W
BEGAS,450000N,0090000W
BEGID,563000N,0140000W
BEGTO,504545N,0011408W
BEKET,585313N,0013120W
BEKMO,525910N,0023710E
BEL,543940N,0061348W
BELOX,535316N,0032923W
BEN,572841N,0072155W
BENBO,502705N,0000037E
BENSU,513444N,0005508W
BEREP,590209N,0014420E
BERUL,524016N,0033113W
BERUX,450000N,0110000W
BESGA,604723N,0075446W
BETAX,530033N,0005403W
BETPO,514754N,0004328W
BEVAM,554353N,0001503E
BEVUP,504800N,0021420W
BHD,502355N,0032937W
BIDVA,504339N,0005839W
BIFIN,520323N,0022719W
BIG,511951N,0000205E
BIGNO,500000N,0024930W
BILLY,600111N,0083408W
BILNI,504031N,0020733W
BILTO,563000N,0150000W
BILVO,534352N,0031109W
BIMGO,493000N,0140000W
BINBO,532406N,0032029E
BINTI,543345N,0015945W
BISRU,510418N,0002203E
BKY,515923N,0000343E
BLACA,545300N,0050932W
BLIXY,513730N,0015832E
BNN,514334N,0003259W
BODSO,530308N,0020541E
BOFUM,533214N,0053000W
BOGMI,505953N,0071217W
BOGNA,504207N,0001506W
BOLBI,532800N,0014845W
BOLRO,500000N,0014129W
BOMBO,515944N,0002347W
BONBY,575330N,0042036W
BOYNE,534602N,0053000W
BPK,514459N,0000624W
BRAIN,514840N,0003906E
BRASO,514107N,0004100E
BRIPO,504227N,0024500W
BRUCE,561411N,0055028W
BUDON,574207N,0003343W
BUGUP,515237N,0013700W
BUKUT,524530N,0024802E
BUMUX,504816N,0032058W
BURNI,534338N,0023104W
BUSTA,520534N,0000404E
BUZAD,515632N,0003308W
CALDA,534627N,0023838W
CAMBO,491730N,0055135W
CASEL,534952N,0041057W
CHASE,523648N,0015502W
CHINN,575751N,0041117W
CLN,515055N,0010851E
CLYDE,555748N,0044732W
COWJO,511324N,0034834W
COWLY,513658N,0010354W
CPT,512930N,0011311W
CREWE,524907N,0021827W
CROFT,533737N,0023220W
CUTEL,555309N,0022228E
DAGGA,514919N,0004739E
DAGKO,505138N,0035328W
DALEY,534008N,0022057W
DANDI,534104N,0035658W
DAUNT,552508N,0045247W
DAVOT,572042N,0040529W
DAWLY,503427N,0032750W
DAYNE,531419N,0020145W
DCS,544319N,0032026W
DEGOS,541121N,0065423W
DELBO,515237N,0011624W
DENBY,533113N,0015740W
DENOG,572553N,0014516W
DESIG,533138N,0015334W
DESNA,503700N,0004700W
DET,511814N,0003550E
DEVAL,505125N,0012800E
DEVBI,604254N,0084610W
DEVOM,504318N,0034519W
DEXEN,531649N,0053000W
DEZZU,513619N,0020000W
DIBAL,524750N,0023000E
DIDEL,505035N,0035950W
DIGBI,551106N,0010301W
DIGMA,533900N,0033724W
DIGSU,520126N,0003805E
DIGUT,513901N,0011759W
DIKAS,514637N,0031533W
DIKVU,511747N,0001902E
DIMLI,545647N,0063655W
DINIM,510000N,0150000W
DIPSO,530313N,0012039W
DISIT,520611N,0014241W
DISVO,503931N,0010257W
DITOB,521701N,0014927E
DIXIB,511412N,0005054W
DOBEM,515211N,0025545W
DOGAL,540000N,0150000W
DOKEK,512518N,0060329W
DOKEN,554055N,0020656E
DOLAS,525843N,0010003E
DOLOP,531251N,0033751W
DOLUR,492904N,0050326W
DOMUT,501543N,0014009W
DONAX,532911N,0035740W
DONIB,554309N,0074144W
DONNA,514200N,0004437W
DOPEK,532304N,0005532W
DORKI,511633N,0001552W
DOSUN,600703N,0062339W
DRAKE,501234N,0000434W
DTY,521049N,0010650W
DUCNO,515824N,0021852W
DUD,553332N,0043606W
DUFFY,543053N,0055139W
DUFZO,513017N,0042036W
DVR,510945N,0012133E
EBOTO,522133N,0004140W
EDONU,561736N,0033341W
EDUXO,532424N,0011301W
EKLAD,531514N,0024929W
EKNIV,512426N,0003731E
ELBOB,544358N,0074438W
ELDAX,502918N,0003930E
ELDER,503948N,0012014W
ELKOG,602648N,0093000W
ELMUD,550656N,0014024W
ELNAB,532211N,0011251E
ELNOD,532826N,0013524W
ELRAG,511028N,0050621W
